"PRESSURE1","TEMPERATURE1","STRESS_XX","STRESS_XY","STRESS_YY","STRESS_ZZ","STRAIN_XX","STRAIN_XY","STRAIN_YY","STRAIN_ZZ","STRAIN_PLS","DILATANCY","NODAL_VELOCITY1:0","NODAL_VELOCITY1:1","NODAL_VELOCITY1:2","DISPLACEMENT:0","DISPLACEMENT:1","DISPLACEMENT:2","DENSITY","VISCOSITY","SPECIFIC_HEAT_CAPACITY","HEAT_CONDUCTIVITY","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.261385999657181e-01,5.205499999447582e+02,1.196631045751891e-01,-6.996460480367389e-06,1.190567622743000e-01,2.003549096356444e-03,7.283686767736004e-03,-8.662284404266053e-07,7.246151291970234e-03,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,9.999999999998002e+01,4.235005756436703e-14,0.000000000000000e+00,9.421260020815328e-05,0.000000000000000e+00,0.000000000000000e+00,9.508582000114304e-07,1.278000000000000e-09,4.680000000000000e+03,6.000000000000000e-01,1,1.300000026822090e-02,1.300000026822090e-02,0.000000000000000e+00,0.000000000000000e+00
1.260107999447697e-01,5.203499999118526e+02,1.195472472216959e-01,-9.252233930332173e-06,1.190549168769125e-01,2.025182968654879e-03,7.275175406139416e-03,-1.145514677088888e-06,7.244697813370612e-03,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,9.999999999998002e+01,4.560775476685164e-14,0.000000000000000e+00,1.014597243394588e-04,0.000000000000000e+00,0.000000000000000e+00,9.508996000182414e-07,1.278000000000000e-09,4.680000000000000e+03,6.000000000000000e-01,1,1.400000043213367e-02,1.400000043213367e-02,0.000000000000000e+00,0.000000000000000e+00
1.258830000428445e-01,5.201500000652117e+02,1.194313899761032e-01,-1.150800527944456e-05,1.190530714812437e-01,2.046816820805205e-03,7.266664052469651e-03,-1.424800653645636e-06,7.243244336124648e-03,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,9.999999999998001e+01,4.886544893536980e-14,0.000000000000000e+00,1.087068417213551e-04,0.000000000000000e+00,0.000000000000000e+00,9.509409999864957e-07,1.278000000000000e-09,4.680000000000000e+03,6.000000000000000e-01,1,1.499999966472387e-02,1.499999966472387e-02,0.000000000000000e+00,0.000000000000000e+00
1.257551999028731e-01,5.199499998460417e+02,1.193155325147094e-01,-1.376378083026174e-05,1.190512260821375e-01,2.068450713251751e-03,7.258152682946240e-03,-1.704087150413454e-06,7.241790856171368e-03,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,9.999999999997999e+01,5.212314917182086e-14,0.000000000000000e+00,1.159539726020698e-04,0.000000000000000e+00,0.000000000000000e+00,9.509824000318636e-07,1.278000000000000e-09,4.680000000000000e+03,6.000000000000000e-01,1,1.600000075995922e-02,1.600000075995922e-02,0.000000000000000e+00,0.000000000000000e+00
1.256273998819248e-01,5.197499998131362e+02,1.191996751612162e-01,-1.601955428022652e-05,1.190493806847500e-01,2.090084585550186e-03,7.249641321349653e-03,-1.983373387075736e-06,7.240337377571748e-03,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,9.999999999998001e+01,5.538084637430547e-14,0.000000000000000e+00,1.232010967333753e-04,0.000000000000000e+00,0.000000000000000e+00,9.510238000386747e-07,1.278000000000000e-09,4.680000000000000e+03,6.000000000000000e-01,1,1.700000092387199e-02,1.700000092387199e-02,0.000000000000000e+00,0.000000000000000e+00
1.254996000990226e-01,5.195500001527599e+02,1.190838180235241e-01,-1.827532352848652e-05,1.190475352907999e-01,2.111718417552401e-03,7.241129975606709e-03,-2.262659103526950e-06,7.238883901679440e-03,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,9.999999999998002e+01,5.863853750885718e-14,0.000000000000000e+00,1.304482073658625e-04,0.000000000000000e+00,0.000000000000000e+00,9.510651999683723e-07,1.278000000000000e-09,4.680000000000000e+03,6.000000000000001e-01,1,1.799999922513962e-02,1.799999922513962e-02,0.000000000000000e+00,0.000000000000000e+00
1.253718000780742e-01,5.193500001198545e+02,1.189679606700309e-01,-2.053109697845129e-05,1.190456898934124e-01,2.133352289850837e-03,7.232618614010122e-03,-2.541945340189233e-06,7.237430423079819e-03,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,9.999999999998002e+01,6.189623471134179e-14,0.000000000000000e+00,1.376953314971679e-04,0.000000000000000e+00,0.000000000000000e+00,9.511065999751833e-07,1.278000000000000e-09,4.680000000000000e+03,6.000000000000001e-01,1,1.899999938905239e-02,1.899999938905239e-02,0.000000000000000e+00,0.000000000000000e+00
1.252440000571259e-01,5.191500000869489e+02,1.188521033165376e-01,-2.278687042841608e-05,1.190438444960249e-01,2.154986162149273e-03,7.224107252413533e-03,-2.821231576851515e-06,7.235976944480197e-03,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,9.999999999998001e+01,6.515393191382640e-14,0.000000000000000e+00,1.449424556284735e-04,0.000000000000000e+00,0.000000000000000e+00,9.511479999819943e-07,1.278000000000000e-09,4.680000000000000e+03,6.000000000000000e-01,1,1.999999955296516e-02,1.999999955296516e-02,0.000000000000000e+00,0.000000000000000e+00
1.251162000361776e-01,5.189500000540435e+02,1.187362459630444e-01,-2.504264387838087e-05,1.190419990986374e-01,2.176620034447708e-03,7.215595890816946e-03,-3.100517813513798e-06,7.234523465880575e-03,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,9.999999999998001e+01,6.841162911631103e-14,0.000000000000000e+00,1.521895797597790e-04,0.000000000000000e+00,0.000000000000000e+00,9.511893999888055e-07,1.278000000000000e-09,4.680000000000000e+03,6.000000000000000e-01,1,2.099999971687794e-02,2.099999971687794e-02,0.000000000000000e+00,0.000000000000000e+00
1.249884000152293e-01,5.187500000211380e+02,1.186203886095512e-01,-2.729841732834564e-05,1.190401537012499e-01,2.198253906746144e-03,7.207084529220358e-03,-3.379804050176080e-06,7.233069987280954e-03,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,9.999999999998001e+01,7.166932631879561e-14,0.000000000000000e+00,1.594367038910845e-04,0.000000000000000e+00,0.000000000000000e+00,9.512307999956164e-07,1.278000000000000e-09,4.680000000000000e+03,6.000000000000000e-01,1,2.199999988079071e-02,2.199999988079071e-02,0.000000000000000e+00,0.000000000000000e+00
